Conventions,G,BADC-CSV,1
title,G,Midas-open: Station site metadata for uk-daily-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point collection
observation_station,G,UK land surface observing network
location,G,UK
collection_name,G,midas-open
collection_version_number,G,dataset-version-202107
date_valid,G,2021-07-15
history,G,Created 2021-07-15
last_revised_date,G,2021-07-15
comments,G,This file contains geographic and temporal information for the stations covered in this version of the uk-daily-rain-obs part of the MIDAS-open collection
comments,G,The temporal range given here is in relation to the data temporal range available for this station within this dataset and may differ from other dates for the given station in other MIDAS-open datasets
comments,G,The geographic location relates to the currently recorded station location to 3 decimal places of latitude and longitude
comments,G,If more precise geographical location information is required please contact the Met Office directly as there may be data management restrictions for stations located on private property
comments,G,Further station-specific details are given in each station folder in the associated capability files
comments,G,For fuller station metadata please use the MIDAS station search tool available from the Centre for Environmental Data Analysis
coordinate_variable,src_id,x
long_name,src_id,The unique MIDAS identifier for the station,1
type,src_id,int
comments,src_id,This is a unique ID ascribed to this station within the MIDAS system. It is used across MIDAS as a way to join related data and metadata together where a site may have used different identifiers for different meteorological reports over time.
long_name,station_name,The name for this station,1
type,station_name,char
long_name,station_file_name,The filename used for this station,1
type,station_file_name,char
comments,station_file_name,The filename is derived from the station name but replacing spaces with - as necessary
long_name,historic_county,the historic county this station is within,1
type,historic_county,char
comments,historic_county,Within MIDAS stations are associated with a set of fixed historic county definitions for the UK and are not amended to reflect modern county boundary changes. For more details refer to the MIDAS documentation.
long_name,station_latitude,The station latitude (WGS84),degrees
type,station_latitude,float
long_name,station_longitude,The station longitude (WGS84),degrees
type,station_longitude,float
long_name,station_elevation,The station elevation,m
type,station_elevation,float
comments,station_elevation,The station elevation in metres above mean sea level
long_name,first_year,first year of data associated with this station in this dataset,year
type,first_year,float
comments,first_year,This relates to the first year of available data within this version of this dataset. The first year may differ for this station within other datasets of Midas-open
long_name,last_year,last year of data associated with this station in this dataset,year
type,last_year,float
comments,last_year,This relates to the last year of data associated with this station in this dataset. It does not indicate whether the station is currently operational and the last year may differ for this station within other datasets of Midas-open
comments,last_year,The first and last year indicate simply the year of first and last available data in this dataset. They do not indicate the availability of data between those dates or availability of data within other datasets of Midas-open
data
src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
00001,FOULA,foula,shetland,60.154,-2.074,22,1989,2003
00003,FAIR ISLE,fair-isle,shetland,59.526,-1.630,57,1974,1997
00005,HAMNAVOE,hamnavoe,shetland,60.104,-1.333,21,1961,1973
00006,SCATSTA,scatsta,shetland,60.439,-1.308,15,1974,1980
00007,COLLAFIRTH,collafirth,shetland,60.533,-1.391,228,1983,1991
00009,LERWICK,lerwick,shetland,60.139,-1.185,82,1976,1997
00010,SELLA NESS,sella-ness,shetland,60.447,-1.278,7,1994,1997
00012,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1992,2002
00013,BALTASOUND,baltasound,shetland,60.759,-0.888,24,1911,1995
00017,SULE SKERRY,sule-skerry,orkney,59.082,-4.405,12,1961,1974
00019,RACKWICK,rackwick,orkney,58.873,-3.387,18,1987,2008
00020,STENNESS,stenness,orkney,58.982,-3.223,23,1961,1973
00021,EVIE,evie,orkney,59.105,-3.088,34,1965,1967
00022,COSTA,costa,orkney,59.131,-3.148,35,1961,1964
00023,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1961,1997
00024,WEYLAND,weyland,orkney,58.986,-2.948,24,1977,1980
00025,"NORTH RONALDSAY, GERBO",north-ronaldsay-gerbo,orkney,59.361,-2.415,11,1996,1998
00026,DOUNREAY,dounreay,caithness,58.579,-3.739,21,1961,1983
00028,"BERRIEDALE, LANGWELL",berriedale-langwell,caithness,58.180,-3.530,67,1980,1985
00029,"HALKIRK , OLGRINBERG",halkirk-olgrinberg,caithness,58.453,-3.559,71,1961,1962
00031,LYBSTER,lybster,caithness,58.311,-3.285,85,1993,1997
00032,WICK AIRPORT,wick-airport,caithness,58.454,-3.090,36,1943,1997
00033,KEISS,keiss,caithness,58.542,-3.110,30,1972,1986
00034,JOHN O GROATS,john-o-groats,caithness,58.635,-3.064,30,1969,1972
00035,GEISGEIL,geisgeil,sutherland,58.319,-5.126,12,1978,1980
00036,DUARTMORE BRIDGE,duartmore-bridge,sutherland,58.289,-5.072,30,1980,2004
00037,CAPE WRATH,cape-wrath,sutherland,58.625,-5.000,112,1961,1997
00038,ACHFARY,achfary,sutherland,58.311,-4.916,46,1967,2020
00039,ACHANY NO 2,achany-no-2,sutherland,57.981,-4.427,107,1977,1983
00040,CASSLEY,cassley,sutherland,58.168,-4.727,99,1961,2002
